Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
A Flintoff (CSK),2009-2009,3,3,1,62,24,31.00,53,116.98,0,0,0,5,2
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.70,3403,151.68,3,40,10,413,251
AC Voges (RR),2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3
AD Russell (DC/KKR),2012-2024,127,105,20,2484,88*,29.22,1420,174.92,0,11,5,170,209
AK Markram (PBKS/SRH),2021-2024,44,42,9,995,68*,30.15,767,129.72,0,5,2,73,35
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,171,17,4642,105*,30.14,3761,123.42,2,30,13,478,103
AN Ahmed (MI/RCB),2010-2015,17,6,5,36,18*,36.00,26,138.46,0,0,0,4,1
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
B Sai Sudharsan (GT),2022-2024,25,25,3,1034,103,47.00,743,139.16,1,6,0,95,31
B Sumanth (DCH),2010-2010,5,4,3,35,16,35.00,37,94.59,0,0,0,3,0
Basil Thampi (GL/MI/SRH),2017-2022,25,8,7,32,13*,32.00,35,91.42,0,0,0,1,1
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43
BJ Rohrer (DC),2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5
C Green (MI/RCB),2023-2024,29,28,11,707,100*,41.58,460,153.69,1,2,0,62,32
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
D Wiese (KKR/RCB),2015-2023,18,11,6,148,47*,29.60,101,146.53,0,0,0,12,7
DA Miller (GT/KXIP/RR),2012-2024,130,124,43,2924,101*,36.09,2100,139.23,1,13,4,207,134
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
DJ Harris (DCH),2012-2012,4,4,0,111,47,27.75,101,109.90,0,0,0,11,5
DP Conway (CSK),2022-2023,23,22,3,924,92*,48.63,654,141.28,0,9,2,99,30
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.60,1462,123.25,1,10,2,200,39
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.20,0,17,8,245,117
F du Plessis (CSK/RCB/RPS),2012-2024,145,138,11,4571,96,35.99,3352,136.36,0,37,7,421,166
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.00,3404,123.88,0,36,12,492,59
GC Smith (PWI/RR),2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9
H Klaasen (RCB/RR/SRH),2018-2024,35,32,6,993,104,38.19,590,168.30,1,6,1,56,64
HH Pandya (GT/MI),2015-2024,137,128,40,2525,91,28.69,1734,145.61,0,10,6,189,136
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Iqbal Abdulla (KKR/RCB/RR),2008-2017,49,13,11,88,33*,44.00,84,104.76,0,0,1,9,1
Ishan Kishan (GL/MI),2016-2024,105,99,6,2644,99,28.43,1946,135.86,0,16,8,255,119
J Fraser-McGurk (DC),2024-2024,9,9,0,330,84,36.66,141,234.04,0,4,1,32,28
JC Buttler (MI/RR),2016-2024,107,106,12,3582,124,38.10,2428,147.52,7,19,7,355,161
JEC Franklin (MI),2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44
JJ Roy (DC/GL/KKR/SRH),2017-2023,21,21,2,614,91*,32.31,443,138.60,0,4,0,75,21
JM Bairstow (PBKS/SRH),2019-2024,50,50,4,1589,114,34.54,1100,144.45,2,9,3,166,69
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79
K Nitish Kumar Reddy (SRH),2023-2024,15,11,2,303,76*,33.66,212,142.92,0,2,0,15,21
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2024,132,123,20,4683,132*,45.46,3479,134.60,4,37,4,400,187
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40
KR Mayers (LSG),2023-2023,13,13,0,379,73,29.15,263,144.10,0,4,2,38,22
KS Bharat (DC/RCB),2021-2022,10,9,2,199,78*,28.42,163,122.08,0,1,1,12,8
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64
LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
LS Livingstone (PBKS/RR),2019-2024,39,39,6,939,94,28.45,578,162.45,0,6,1,66,66
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.90,0,5,2,87,28
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
MG Bracewell (RCB),2023-2023,5,4,2,58,26,29.00,47,123.40,0,0,0,6,1
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,159,27,3850,114*,29.16,3179,121.10,1,22,14,335,110
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.90,805,137.51,0,8,1,121,44
MN van Wyk (KKR),2009-2009,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1
MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,88,22,1866,124*,28.27,1314,142.00,1,9,9,150,91
MS Dhoni (CSK/RPS),2008-2024,264,229,95,5243,84*,39.12,3812,137.53,0,24,6,363,252
MV Boucher (KKR/RCB),2008-2011,31,24,10,394,50*,28.14,309,127.50,0,1,0,32,13
N Pooran (KXIP/LSG/PBKS/SRH),2019-2024,76,73,18,1769,77,32.16,1090,162.29,0,9,9,112,127
N Rana (KKR/MI),2016-2024,107,101,9,2636,87,28.65,1952,135.04,0,18,7,234,132
NK Patel (RR),2008-2009,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1
