Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
AC Gilchrist (DCH/KXIP),2008-2013,80,0.1,0,1,0,1,1/0,0.00,0.00,1.00,0,0,0
Sachin Baby (RCB/RR),2013-2021,19,1.4,0,10,8,2,2/4,4.00,4.80,5.00,0,0,0
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,1.0,0,6,5,1,1/5,5.00,5.00,6.00,0,0,0
LA Carseldine (RR),2009-2009,5,1.0,0,6,6,1,1/6,6.00,6.00,6.00,0,0,0
SS Mundhe (PWI),2011-2011,1,1.0,0,6,6,1,1/6,6.00,6.00,6.00,0,0,0
T Stubbs (DC/MI),2022-2024,18,4.0,0,24,29,4,2/11,7.25,7.25,6.00,0,0,0
D Brevis (MI),2022-2024,10,0.3,0,3,8,1,1/8,8.00,16.00,3.00,0,0,0
Ramandeep Singh (KKR/MI),2022-2024,20,6.4,0,40,63,6,3/20,10.50,9.45,6.66,0,0,0
DAJ Bracewell (DC),2012-2012,1,4.0,0,24,32,3,3/32,10.66,8.00,8.00,0,0,0
Shoaib Akhtar (KKR),2008-2008,3,7.0,0,42,54,5,4/11,10.80,7.71,8.40,1,0,0
Sohail Tanvir (RR),2008-2008,11,41.1,0,247,266,22,6/14,12.09,6.46,11.22,1,1,0
MP Yadav (LSG),2024-2024,4,12.1,0,73,85,7,3/14,12.14,6.98,10.42,0,0,0
DJ Thornely (MI),2008-2008,6,7.0,0,42,40,3,2/7,13.33,5.71,14.00,0,0,0
D du Preez (RCB),2009-2009,2,7.0,1,42,56,4,3/32,14.00,8.00,10.50,0,0,0
CK Langeveldt (KKR/RCB),2009-2011,7,26.0,0,156,187,13,3/15,14.38,7.19,12.00,0,0,0
NB Singh (GL),2017-2017,2,4.0,0,24,15,1,1/7,15.00,3.75,24.00,0,0,0
Umar Gul (KKR),2008-2008,6,22.3,1,135,184,12,4/23,15.33,8.17,11.25,1,0,0
O Thomas (RR),2019-2019,4,10.0,0,60,79,5,2/6,15.80,7.90,12.00,0,0,0
MG Bracewell (RCB),2023-2023,5,11.0,0,66,95,6,2/13,15.83,8.63,11.00,0,0,0
MA Wood (CSK/LSG),2018-2023,5,20.0,1,120,179,11,5/14,16.27,8.95,10.90,0,1,0
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,8.0,0,48,66,4,1/7,16.50,8.25,12.00,0,0,0
CRD Fernando (MI),2008-2010,10,39.0,0,234,294,17,4/18,17.29,7.53,13.76,1,0,0
M Pathirana (CSK),2022-2024,20,75.1,0,451,592,34,4/28,17.41,7.87,13.26,1,0,0
BJ Hodge (KKR/Kochi/RR),2008-2014,66,39.0,0,234,303,17,4/13,17.82,7.76,13.76,1,0,0
L Ngidi (CSK),2018-2021,14,54.0,2,324,448,25,4/10,17.92,8.29,12.96,1,0,0
JM Kemp (CSK),2010-2010,5,7.2,0,44,54,3,3/12,18.00,7.36,14.66,0,0,0
A Badoni (LSG),2022-2024,42,4.1,0,25,36,2,1/5,18.00,8.64,12.50,0,0,0
V Kaverappa (PBKS),2024-2024,1,4.0,0,24,36,2,2/36,18.00,9.00,12.00,0,0,0
DE Bollinger (CSK),2010-2012,27,96.0,3,576,693,37,4/13,18.72,7.21,15.56,1,0,0
AD Mascarenhas (KXIP/RR),2008-2013,13,51.2,1,308,356,19,5/25,18.73,6.93,16.21,0,1,0
PH Solanki (CSK),2022-2022,2,6.0,0,36,38,2,2/20,19.00,6.33,18.00,0,0,0
DJM Short (RR),2018-2018,7,3.0,0,18,19,1,1/10,19.00,6.33,18.00,0,0,0
A Zampa (RCB/RPS/RR),2016-2023,20,69.5,0,419,558,29,6/19,19.24,7.99,14.44,0,1,0
MF Maharoof (DC),2008-2010,20,70.0,0,420,520,27,3/34,19.25,7.42,15.55,0,0,0
Gurkeerat Singh (KXIP/RCB),2012-2020,41,13.0,0,78,97,5,2/15,19.40,7.46,15.60,0,0,0
KA Maharaj (RR),2024-2024,2,6.0,0,36,39,2,2/23,19.50,6.50,18.00,0,0,0
WPUJC Vaas (DCH),2008-2010,13,47.0,2,282,355,18,3/21,19.72,7.55,15.66,0,0,0
SL Malinga (MI),2009-2019,122,471.1,8,2827,3365,170,5/13,19.79,7.14,16.62,6,1,0
R Sai Kishore (GT),2022-2024,10,31.0,0,186,258,13,4/33,19.84,8.32,14.30,1,0,0
RS Hangargekar (CSK),2023-2023,2,6.0,0,36,60,3,3/36,20.00,10.00,12.00,0,0,0
GD Phillips (RR/SRH),2021-2023,8,5.0,0,30,40,2,1/10,20.00,8.00,15.00,0,0,0
T Thushara (CSK),2009-2010,6,22.3,0,135,161,8,2/16,20.12,7.15,16.87,0,0,0
PD Collingwood (DC),2010-2010,8,14.5,0,89,101,5,2/19,20.20,6.80,17.80,0,0,0
YA Abdulla (KXIP),2009-2010,11,34.5,1,209,307,15,4/31,20.46,8.81,13.93,2,0,0
N Burger (RR),2024-2024,6,17.0,0,102,145,7,2/29,20.71,8.52,14.57,0,0,0
Imran Tahir (CSK/DC/RPS),2014-2021,59,219.2,1,1316,1703,82,4/12,20.76,7.76,16.04,3,0,0
R Rampaul (RCB),2013-2014,12,43.4,4,262,298,14,3/31,21.28,6.82,18.71,0,0,0
